entity_id	text	label
0	"Knowledge Discovery in Databases: Papers from the 1994 AAAI Workshop, Seattle, Washington, July 1994. Technical Report WS-94-03"	1
1	STAR: A General Architecture for the Support of Distortion Oriented Displays.	1
2	Learning First Order Logic Rules with a Genetic Algorithm.	1
3	Discovery and Maintenance of Functional Dependencies by Independencies.	1
4	Active Data Mining.	1
5	Capacity and Complexity Control in Predicting the Spread Between Borrowing and Lending Interest Rates.	1
6	Limits on Learning Machine Accuracy Imposed by Data Quality.	1
7	Intelligent Instruments: Discovering How to Turn Spectral Data into Information.	1
8	Applying a Data Miner To Heterogeneous Schema Integration.	1
9	Rough Sets Similarity-Based Learning from Databases.	1
10	Learning Arbiter and Combiner Trees from Partitioned Data for Scaling Machine Learning.	1
11	Exploiting Upper Approximation in the Rough Set Methodology.	1
12	Analyzing the Benefits of Domain Knowledge in Substructure Discovery.	1
13	Designing Neural Networks from Statistical Models: A New Approach to Data Exploration.	1
14	Knowledge-Based Scientific Discovery in Geological Databases.	1
15	Knowledge Discovery in a Water Quality Database.	1
16	Structured and Unstructured Induction with EDAGs.	1
17	A Statistical Perspective On Knowledge Discovery In Databases.	1
18	A Database Interface for Clustering in Large Spatial Databases.	1
19	Knowledge Discovery in Telecommunication Services Data Using Bayesian Network Models.	1
20	"Available Technology for Discovering Causal Models, Building Bayes Nets, and Selecting Predictors: The TETRAD II Program."	1
21	Restructuring Databases for Knowledge Discovery by Consolidation and Link Formation.	1
22	Data Mining for Loan Evaluation at ABN AMRO: A Case Study.	1
23	Knowledge Discovery in Textual Databases (KDT).	1
24	Optimization and Simplification of Hierarchical Clusterings.	1
25	An Assessment of PrIL.	1
26	Discriminant Adaptive Nearest Neighbor Classification.	1
27	A Perspective on Databases and Data Mining.	1
28	Estimating the Robustness of Discovered Knowledge.	1
29	Efficient Algorithms for Attribute-Oriented Induction.	1
30	Robust Decision Trees: Removing Outliers from Databases.	1
31	Conceptual Clustering in Structured Databases: A Practical Approach.	1
32	Anonymization Techniques for Knowledge Discovery in Databases.	1
33	Feature Subset Selection Using the Wrapper Method: Overfitting and Dynamic Search Space Topology.	1
34	Exploiting Visualization in Knowledge Discovery.	1
35	MDL-Based Decision Tree Pruning.	1
36	Discovering Frequent Episodes in Sequences.	1
37	Decision Tree Induction: How Effective is the Greedy Heuristic?	1
38	An Iterative Improvement Approach for the Discretization of Numeric Attributes in Bayesian Classifiers.	1
39	Compression-Based Evaluation of Partial Determinations.	1
40	Fuzzy Interpretation of Induction Results.	1
41	Discovering Enrollment Knowledge in University Databases.	1
42	Extracting Support Data for a Given Task.	1
43	Knowledge Discovery from Multiple Databases.	1
44	Feature Extraction for Massive Data Mining.	1
45	Using Rough Sets as Tools for Knowledge Discovery.	1
46	Data Surveying: Foundations of an Inductive Query Language.	1
47	On Subjective Measures of Interestingness in Knowledge Discovery.	1
48	Using Recon for Data Cleaning.	1
49	Discovery of Concurrent Data Models from Experimental Tables: A Rough Set Approach.	1
50	Learning Bayesian Networks with Discrete Variables from Data.	1
51	Fast Spatio-Temporal Data Mining of Large Geophysical Datasets.	1
52	Accelerated Quantification of Bayesian Networks with Incomplete Data.	1
53	Automated Selection of Rule Induction Methods Based on Recursive Iteration of Resampling Methods and Multiple Statistical Testing.	1
54	Automated Discovery of Functional Components of Proteins from Amino-Acid Sequences Based on Rough Sets and Change of Representation.	1
55	Toward a Multi-Strategy and Cooperative Discovery System.	1
56	Resource and Knowledge Discovery in Global Information Systems: A Preliminary Design and Experiment.	1
57	"Proceedings of the First International Conference on Knowledge Discovery and Data Mining (KDD-95), Montreal, Canada, August 20-21, 1995"	1
58	The Quest Data Mining System.	1
59	Developing Tightly-Coupled Data Mining Applications on a Relational Database System.	1
60	A Linear Method for Deviation Detection in Large Databases.	1
61	Exploiting Background Knowledge in Automated Discovery.	1
62	Using a Hybrid Neural/Expert System for Data Base Mining in Market Survey Data.	1
63	Mining Knowledge in Noisy Audio Data.	1
64	Sharing Learned Models among Remote Database Partitions by Local Meta-Learning.	1
65	Growing Simpler Decision Trees to Facilitate Knowledge Discovery.	1
66	Maintenance of Discovered Knowledge: A Case in Multi-Level Association Rules.	1
67	Linear-Time Rule Induction.	1
68	Efficient Specific-to-General Rule Induction.	1
69	Local Induction of Decision Trees: Towards Interactive Data Mining.	1
70	Mining Entity-Identification Rules for Database Integration.	1
71	Planning Tasks for Knowledge Discovery in Databases; Performing Task-Oriented User-Guidance.	1
72	A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise.	1
73	Data Mining with Sparse and Simplified Interaction Selection.	1
74	Combining Data Mining and Machine Learning for Effective User Profiling.	1
75	KDD for Science Data Analysis: Issues and Examples.	1
76	Knowledge Discovery and Data Mining: Towards a Unifying Framework.	1
77	Learning from Biased Data Using Mixture Models.	1
78	Harnessing the Human in Knowledge Discovery.	1
79	Data Mining and Tree-Based Optimization.	1
80	Mining Associations in Text in the Presence of Background Knowledge.	1
81	A Genetic Algorithm-Based Approach to Data Mining.	1
82	DBMiner: A System for Mining Knowledge in Large Relational Databases.	1
83	Knowledge Discovery in RNA Sequence Families of HIV Using Scalable Computers.	1
84	Inferring Hierarchical Clustering Structures by Deterministic Annealing.	1
85	Discovering Knowledge in Commercial Databases Using Modern Heuristic Techniques.	1
86	DataMine: Application Programming Interface and Query Language for Database Mining.	1
87	Discovery of Relevant New Features by Generating Non-Linear Decision Trees.	1
88	Static Versus Dynamic Sampling for Data Mining.	1
89	Evaluating the Interestingness of Characteristic Rules.	1
90	A Method for Reasoning with Structured and Continuous Attributes in the INLEN-2 Multistrategy Knowledge Discovery System.	1
91	Analysing Binary Associations.	1
92	Extraction of Spatial Proximity Patterns by Concept Generalization.	1
93	Scaling Up the Accuracy of Naive-Bayes Classifiers: A Decision-Tree Hybrid.	1
94	Error-Based and Entropy-Based Discretization of Continuous Features.	1
95	Predictive Data Mining with Finite Mixtures.	1
96	Efficient Search for Strong Partial Determinations.	1
97	Self-Organizing Maps of Document Collections: A New Approach to Interactive Exploration.	1
98	Imputation of Missing Data Using Machine Learning Techniques.	1
99	An Empirical Test of the Weighted Effect Approach to Generalized Prediction Using Recursive Neural Nets.	1
100	Induction of Condensed Determinations.	1
101	An Overview of Issues in Developing Industrial Data Mining and Knowledge Discovery Applications.	1
