,id,count
0,18089,15
1,18090,2
2,18091,1
3,18092,1
4,18093,1
5,18094,1
6,18095,1
7,18096,2
8,18097,1
9,18098,70
10,18099,6
11,18100,6
12,18101,2
13,18102,1
14,18103,2
15,18104,1
16,18105,1
17,18106,3
18,18107,1
19,18108,11
20,18109,2
21,18110,5
22,18111,12
23,18112,9
24,18113,19
25,18114,2
26,18115,5
27,18116,1
28,18117,1
29,18118,4
30,18119,2
31,18120,3
32,18121,2
33,18122,1
34,18123,1
35,18124,7
36,18125,1
37,18126,2
38,18127,9
39,18128,22
40,18129,62
41,18130,7
42,18131,1
43,18132,1
44,18133,2
45,18134,2
46,18135,4
47,18136,6
48,18137,1
49,18138,1
50,18139,14
51,18140,1
52,18141,1
53,18142,2
54,18143,2
55,18144,2
56,18145,1
57,18146,1
58,18147,17
59,18148,37
60,18149,14
61,18150,3
62,18151,11
63,18152,1
64,18153,17
65,18154,3
66,18155,2
67,18156,1
68,18157,1
69,18158,7
70,18159,12
71,18160,2
72,18161,1
73,18162,1
74,18163,1
75,18164,7
76,18165,1
77,18166,3
78,18167,1
79,18168,2
80,18169,11
81,18170,5
82,18171,8
83,18172,9
84,18173,1
85,18174,2
86,18175,11
87,18176,4
88,18177,1
89,18178,1
90,18179,2
91,18180,3
92,18181,1
93,18182,1
94,18183,6
95,18184,2
96,18185,2
97,18186,13
98,18187,13
99,18188,37
100,18189,12
101,18190,4
102,18191,1
103,18192,2
104,18193,5
105,18194,1
106,18195,2
107,18196,8
108,18197,6
109,18198,1
110,18199,2
111,18200,15
112,18201,3
113,18202,1
114,18203,1
115,18204,2
116,18205,1
117,18206,1
118,18207,1
119,18208,1
120,18209,21
121,18210,3
122,18211,10
123,18212,8
124,18213,16
125,18214,91
126,18215,4
127,18216,24
128,18217,2
129,18218,1
130,18219,29
131,18220,43
132,18221,4
133,18222,11
134,18223,9
135,18224,1
136,18225,1
137,18226,1
138,18227,1
139,18228,2
140,18229,5
141,18230,3
142,18231,1
143,18232,17
144,18233,1
145,18234,2
146,18235,1
147,18236,2
148,18237,19
149,18238,1
150,18239,3
151,18240,16
152,18241,1
153,18242,4
154,18243,3
155,18244,9
156,18245,22
157,18246,8
158,18247,10
159,18248,1
160,18249,1
161,18250,1
162,18251,4
163,18252,1
164,18253,1
165,18254,4
166,18255,45
167,18256,4
168,18257,2
169,18258,4
170,18259,1
171,18260,1
172,18261,1
173,18262,2
174,18263,1
175,18264,1
176,18265,1
177,18266,1
178,18267,5
179,18268,7
180,18269,1
181,18270,1
182,18271,3
183,18272,13
184,18273,2
185,18274,1
186,18275,1
187,18276,1
188,18277,6
189,18278,2
190,18279,1
191,18280,1
192,18281,6
193,18282,2
194,18283,5
195,18284,34
196,18285,5
197,18286,3
198,18287,4
199,18288,4
200,18289,1
201,18290,1
202,18291,1
203,18292,1
204,18293,1
205,18294,2
206,18295,2
207,18296,1
208,18297,1
209,18298,2
210,18299,3
211,18300,1
212,18301,2
213,18302,2
214,18303,1
215,18304,5
216,18305,4
217,18306,8
218,18307,1
219,18308,1
220,18309,2
221,18310,1
222,18311,1
223,18312,2
224,18313,2
225,18314,1
226,18315,5
227,18316,2
228,18317,1
229,18318,1
230,18319,1
231,18320,10
232,18321,1
233,18322,1
234,18323,1
235,18324,1
236,18325,1
237,18326,27
238,18327,1
239,18328,1
240,18329,12
241,18330,5
242,18331,39
243,18332,7
244,18333,1
245,18334,3
246,18335,2
247,18336,5
248,18337,3
249,18338,7
250,18339,1
251,18340,1
252,18341,1
253,18342,1
254,18343,3
255,18344,9
256,18345,1
257,18346,1
258,18347,1
259,18348,3
260,18349,1
261,18350,2
262,18351,2
263,18352,1
264,18353,1
265,18354,2
266,18355,3
267,18356,3
268,18357,3
269,18358,3
270,18359,1
271,18360,1
272,18361,2
273,18362,2
274,18363,1
275,18364,2
276,18365,1
277,18366,1
278,18367,1
279,18368,1
280,18369,1
281,18370,2
282,18371,1
283,18372,1
284,18373,1
285,18374,1
286,18375,1
287,18376,1
288,18377,3
289,18378,3
290,18379,15
291,18380,20
292,18381,3
293,18382,3
294,18383,1
295,18384,3
296,18385,1
297,18386,1
298,18387,1
299,18388,1
300,18389,1
301,18390,2
302,18391,1
303,18392,11
304,18393,1
305,18394,3
306,18395,1
307,18396,1
308,18397,6
309,18398,11
310,18399,1
311,18400,1
312,18401,32
313,18402,2
314,18403,27
315,18404,20
316,18405,2
317,18406,5
318,18407,3
319,18408,8
320,18409,2
321,18410,2
322,18411,2
323,18412,1
324,18413,1
325,18414,1
326,18415,1
327,18416,2
328,18417,1
329,18418,1
330,18419,1
331,18420,1
332,18421,1
333,18422,1
334,18423,2
335,18424,2
336,18425,1
337,18426,6
338,18427,1
339,18428,1
340,18429,5
341,18430,3
342,18431,1
343,18432,1
344,18433,3
345,18434,1
346,18435,3
347,18436,3
348,18437,1
349,18438,1
350,18439,1
351,18440,30
352,18441,2
353,18442,1
354,18443,5
355,18444,1
356,18445,4
357,18446,3
358,18447,3
359,18448,2
360,18449,18
361,18450,4
362,18451,4
363,18452,6
364,18453,5
365,18454,3
366,18455,8
367,18456,1
368,18457,6
369,18458,1
370,18459,2
371,18460,6
372,18461,7
373,18462,8
374,18463,16
375,18464,21
376,18465,23
377,18466,8
378,18467,11
379,18468,6
380,18469,1
381,18470,1
382,18471,3
383,18472,1
384,18473,1
385,18474,1
386,18475,1
387,18476,4
388,18477,1
389,18478,4
390,18479,1
391,18480,1
392,18481,1
393,18482,2
394,18483,2
395,18484,1
396,18485,1
397,18486,1
398,18487,2
399,18488,15
400,18489,26
401,18490,6
402,18491,5
403,18492,1
404,18493,1
405,18494,1
406,18495,1
407,18496,8
408,18497,4
409,18498,1
410,18499,1
411,18500,3
412,18501,3
413,18502,3
414,18503,2
415,18504,7
416,18505,1
417,18506,1
418,18507,1
419,18508,1
420,18509,2
421,18510,1
422,18511,10
423,18512,3
424,18513,4
425,18514,1
426,18515,2
427,18516,1
428,18517,2
429,18518,2
430,18519,1
431,18520,1
432,18521,4
433,18522,1
434,18523,1
435,18524,1
436,18525,3
437,18526,1
438,18527,2
439,18528,1
440,18529,1
441,18530,1
442,18531,1
443,18532,1
444,18533,1
445,18534,1
446,18535,1
447,18536,3
448,18537,1
449,18538,3
450,18539,1
451,18540,1
452,18541,5
453,18542,3
454,18543,1
455,18544,15
456,18545,2
457,18546,6
458,18547,32
459,18548,2
460,18549,99
461,18550,10
462,18551,63
463,18552,21
464,18553,2
465,18554,2
466,18555,4
467,18556,2
468,18557,7
469,18558,5
470,18559,1
471,18560,2
472,18561,4
473,18562,3
474,18563,1
475,18564,1
476,18565,1
477,18566,1
478,18567,1
479,18568,2
480,18569,4
481,18570,1
482,18571,1
483,18572,6
484,18573,1
485,18574,1
486,18575,1
487,18576,2
488,18577,6
489,18578,2
490,18579,1
491,18580,1
492,18581,24
493,18582,70
494,18583,1
495,18584,1
496,18585,1
497,18586,1
498,18587,2
499,18588,2
500,18589,3
501,18590,1
502,18591,1
503,18592,8
504,18593,34
505,18594,22
506,18595,4
507,18596,1
508,18597,2
509,18598,4
510,18599,4
511,18600,1
512,18601,1
513,18602,1
514,18603,2
515,18604,4
516,18605,2
517,18606,10
518,18607,1
519,18608,11
520,18609,1
521,18610,1
522,18611,2
523,18612,5
524,18613,3
525,18614,2
526,18615,13
527,18616,1
528,18617,1
529,18618,3
530,18619,2
531,18620,1
532,18621,2
533,18622,4
534,18623,1
535,18624,1
536,18625,1
537,18626,3
538,18627,2
539,18628,2
540,18629,5
541,18630,2
542,18631,1
543,18632,3
544,18633,1
545,18634,6
546,18635,7
547,18636,1
548,18637,4
549,18638,2
550,18639,5
551,18640,1
552,18641,12
553,18642,1
554,18643,7
555,18644,2
556,18645,2
557,18646,2
558,18647,1
559,18648,1
560,18649,27
561,18650,3
562,18651,3
563,18652,4
564,18653,1
565,18654,2
566,18655,3
567,18656,1
568,18657,1
569,18658,5
570,18659,1
571,18660,1
572,18661,1
573,18662,4
574,18663,1
575,18664,2
576,18665,1
577,18666,1
578,18667,8
579,18668,3
580,18669,2
581,18670,1
582,18671,1
583,18672,2
584,18673,3
585,18674,3
586,18675,1
587,18676,1
588,18677,2
589,18678,1
590,18679,1
591,18680,9
592,18681,1
593,18682,1
594,18683,3
595,18684,4
596,18685,2
597,18686,4
598,18687,1
599,18688,11
600,18689,4
601,18690,1
602,18691,4
603,18692,2
604,18693,1
605,18694,5
606,18695,3
607,18696,2
608,18697,1
609,18698,1
610,18699,1
611,18700,1
612,18701,1
613,18702,4
614,18703,1
615,18704,1
616,18705,1
617,18706,1
618,18707,2
619,18708,1
620,18709,3
621,18710,2
622,18711,1
623,18712,2
624,18713,4
625,18714,4
626,18715,3
627,18716,1
628,18717,5
629,18718,1
630,18719,2
631,18720,2
632,18721,2
633,18722,1
634,18723,1
635,18724,1
636,18725,2
637,18726,2
638,18727,3
639,18728,4
640,18729,1
641,18730,2
642,18731,4
643,18732,2
644,18733,1
645,18734,1
646,18735,1
647,18736,1
648,18737,1
649,18738,1
650,18739,2
651,18740,4
652,18741,1
653,18742,1
654,18743,1
655,18744,1
656,18745,1
657,18746,2
658,18747,3
659,18748,1
660,18749,1
661,18750,2
662,18751,5
663,18752,1
664,18753,1
665,18754,1
666,18755,2
667,18756,8
668,18757,11
669,18758,2
670,18759,7
671,18760,21
672,18761,6
673,18762,4
674,18763,1
675,18764,6
676,18765,9
677,18766,6
678,18767,2
679,18768,1
680,18769,1
681,18770,1
682,18771,3
683,18772,1
684,18773,1
685,18774,1
686,18775,1
687,18776,3
688,18777,1
689,18778,1
690,18779,3
691,18780,3
692,18781,6
693,18782,43
694,18783,1
695,18784,1
696,18785,1
697,18786,6
698,18787,1
699,18788,5
700,18789,15
701,18790,7
702,18791,1
703,18792,1
704,18793,1
705,18794,1
706,18795,3
707,18796,13
708,18797,32
709,18798,50
710,18799,19
711,18800,1
712,18801,1
713,18802,2
714,18803,1
715,18804,1
716,18805,3
717,18806,1
718,18807,1
719,18808,1
720,18809,1
721,18810,1
722,18811,1
723,18812,1
724,18813,5
725,18814,12
726,18815,5
727,18816,2
728,18817,2
729,18818,2
730,18819,3
731,18820,7
732,18821,2
733,18822,2
734,18823,8
735,18824,55
736,18825,1
737,18826,2
738,18827,4
739,18828,3
740,18829,2
741,18830,4
742,18831,1
743,18832,1
744,18833,16
745,18834,1
746,18835,1
747,18836,2
748,18837,10
749,18838,5
750,18839,19
751,18840,45
752,18841,2
753,18842,1
754,18843,4
755,18844,3
756,18845,27
757,18846,1
758,18847,1
759,18848,1
760,18849,1
761,18850,1
762,18851,1
763,18852,1
764,18853,1
765,18854,1
766,18855,2
767,18856,1
768,18857,1
769,18858,1
770,18859,20
771,18860,7
772,18861,1
773,18862,16
774,18863,1
775,18864,1
776,18865,6
777,18866,1
778,18867,1
779,18868,1
780,18869,2
781,18870,2
782,18871,6
783,18872,1
784,18873,1
785,18874,1
786,18875,1
787,18876,3
788,18877,1
789,18878,1
790,18879,1
791,18880,1
792,18881,1
793,18882,5
794,18883,2
795,18884,1
796,18885,3
797,18886,1
798,18887,2
799,18888,1
800,18889,1
801,18890,1
802,18891,1
803,18892,1
804,18893,1
805,18894,1
806,18895,2
807,18896,1
808,18897,1
809,18898,1
810,18899,2
811,18900,2
812,18901,4
813,18902,1
814,18903,1
815,18904,1
816,18905,1
817,18906,5
818,18907,4
819,18908,1
820,18909,5
821,18910,2
822,18911,2
823,18912,16
824,18913,1
825,18914,2
826,18915,3
827,18916,2
828,18917,1
829,18918,1
830,18919,2
831,18920,3
832,18921,6
833,18922,5
834,18923,1
835,18924,1
836,18925,1
837,18926,2
838,18927,2
839,18928,1
840,18929,5
841,18930,1
842,18931,1
843,18932,1
844,18933,1
845,18934,1
846,18935,6
847,18936,1
848,18937,8
849,18938,2
850,18939,1
851,18940,6
852,18941,2
853,18942,2
854,18943,2
855,18944,1
856,18945,3
857,18946,1
858,18947,1
859,18948,1
860,18949,1
861,18950,1
862,18951,3
863,18952,2
864,18953,7
865,18954,1
866,18955,3
867,18956,3
868,18957,1
869,18958,1
870,18959,1
871,18960,3
872,18961,1
873,18962,1
874,18963,7
875,18964,1
876,18965,1
877,18966,2
878,18967,1
879,18968,1
880,18969,1
881,18970,3
882,18971,1
883,18972,1
884,18973,2
885,18974,1
886,18975,1
887,18976,1
888,18977,1
889,18978,1
890,18979,2
891,18980,1
892,18981,2
893,18982,1
894,18983,2
895,18984,3
896,18985,7
897,18986,3
898,18987,1
899,18988,1
900,18989,1
901,18990,1
902,18991,28
903,18992,1
904,18993,1
905,18994,1
906,18995,44
907,18996,60
908,18997,1
909,18998,1
910,18999,1
911,19000,1
912,19001,1
913,19002,1
914,19003,1
915,19004,1
916,19005,1
917,19006,1
918,19007,6
919,19008,7
920,19009,1
921,19010,2
922,19011,1
923,19012,2
924,19013,37
925,19014,2
926,19015,8
927,19016,36
928,19017,13
929,19018,2
930,19019,1
931,19020,17
932,19021,10
933,19022,4
934,19023,1
935,19024,3
936,19025,6
937,19026,3
938,19027,1
939,19028,24
940,19029,8
941,19030,2
942,19031,4
943,19032,1
944,19033,1
945,19034,3
946,19035,1
947,19036,1
948,19037,1
949,19038,1
950,19039,3
951,19040,2
952,19041,2
953,19042,1
954,19043,1
955,19044,2
956,19045,3
957,19046,34
958,19047,3
959,19048,2
960,19049,1
961,19050,2
962,19051,1
963,19052,1
964,19053,8
965,19054,1
966,19055,1
967,19056,3
968,19057,3
969,19058,10
970,19059,2
971,19060,3
972,19061,2
973,19062,2
974,19063,26
975,19064,4
976,19065,2
977,19066,8
978,19067,8
979,19068,5
980,19069,3
981,19070,1
982,19071,3
983,19072,3
984,19073,2
985,19074,2
986,19075,1
987,19076,1
988,19077,1
989,19078,1
990,19079,1
991,19080,2
992,19081,2
993,19082,2
994,19083,1
995,19084,1
996,19085,1
997,19086,1
998,19087,1
999,19088,1
